timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
1759284000,15.2,15.18,1021,92,13.91,,75,10000,6.17,210,500,Rain,light rain
1759291200,15.43,15.4,1021,91,13.97,,75,10000,7.2,220,500,Rain,light rain
1759298400,15.2,15.02,1021,86,12.88,,75,10000,7.72,220,803,Clouds,broken clouds
1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
1759312800,16.81,16.71,1022,83,13.91,,75,10000,7.72,210,803,Clouds,broken clouds
1759320000,18.03,17.93,1022,78,14.14,,75,10000,10.8,210,803,Clouds,broken clouds
1759327200,18.73,18.67,1022,77,14.62,,75,10000,7.72,210,803,Clouds,broken clouds
1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
1759341600,17.78,17.6,1021,76,13.5,,75,10000,6.17,210,803,Clouds,broken clouds
1759348800,15.64,15.4,1021,82,12.58,,20,10000,8.23,210,801,Clouds,few clouds
1759356000,15.19,14.88,1021,81,11.95,,75,10000,7.2,220,500,Rain,light rain
1759363200,16.01,15.62,1020,75,11.59,,75,10000,8.75,210,500,Rain,light rain
1759370400,15.18,14.95,1019,84,12.5,,75,10000,7.2,210,501,Rain,moderate rain
1759377600,15.47,15.24,1019,83,12.6,,75,10000,8.23,200,500,Rain,light rain
1759384800,15.76,15.56,1018,83,12.88,,75,10000,8.23,210,500,Rain,light rain
1759392000,16.68,16.57,1017,83,13.78,,75,10000,7.2,200,500,Rain,light rain
1759399200,16.36,16.19,1016,82,13.28,,75,10000,7.72,200,500,Rain,light rain
1759406400,17.65,17.3,1014,70,12.12,,75,10000,6.17,180,803,Clouds,broken clouds
1759413600,16.69,16.45,1011,78,12.84,,75,10000,9.26,190,500,Rain,light rain
1759420800,16.13,15.89,1008,80,12.68,,75,10000,11.83,200,500,Rain,light rain
1759428000,16.44,16.33,1006,84,13.73,,75,10000,11.32,200,500,Rain,light rain
