Time,Pressure_self,timestamp,temperature,feels_like,Pressure_weather,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
2025-10-01 08:36:53.724149942+01:00,1018.499985,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:54.752783060+01:00,1018.510132,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:55.781444073+01:00,1018.520279,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:56.810081959+01:00,1018.535156,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:57.838701963+01:00,1018.551865,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:58.036644936+01:00,1018.55484,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:36:59.098495007+01:00,1018.562927,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:00.160311937+01:00,1018.564072,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:01.222091913+01:00,1018.570328,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:02.283926964+01:00,1018.570633,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:03.345757008+01:00,1018.57399,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:04.407617092+01:00,1018.584442,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:05.469458103+01:00,1018.589783,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:06.531344891+01:00,1018.596268,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:07.593200922+01:00,1018.604736,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:08.655072927+01:00,1018.610611,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:09.716995955+01:00,1018.610611,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:10.778899908+01:00,1018.608704,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
