Time,Pressure
1759134117.488857,1021.505203
1759134118.517287,1021.508026
1759134119.545721,1021.509705
1759134120.574124,1021.510925
1759134121.602493,1021.511078
1759134121.800665,1021.511688
1759134122.862203,1021.511688
1759134123.923707,1021.514053
1759134124.985205,1021.516800
1759134126.046764,1021.516953
1759134127.108281,1021.524200
1759134128.169784,1021.531372
1759134129.231304,1021.533585
1759134130.292809,1021.540375
1759134131.354356,1021.558075
1759134132.415828,1021.577377
1759134133.477316,1021.595535
1759134134.538781,1021.616287
1759134135.600268,1021.633606
1759134136.661759,1021.642914
1759134137.723268,1021.643906
1759134138.784779,1021.645660
1759134139.846218,1021.647339
1759134140.907697,1021.647949
1759134141.969158,1021.647949
1759134143.030606,1021.647034
1759134144.092028,1021.646271
1759134145.153462,1021.645889
1759134146.214929,1021.643906
1759134147.276381,1021.643906
1759134148.337820,1021.647339
1759134149.399282,1021.652145
1759134150.460744,1021.654663
1759134151.522188,1021.660156
1759134152.583627,1021.665878
1759134153.645073,1021.669998
1759134154.706480,1021.673660
1759134155.767844,1021.674194
1759134156.829196,1021.674194
1759134157.890585,1021.674194
1759134158.951967,1021.674194
1759134160.013332,1021.676407
1759134161.074671,1021.686249
1759134162.136008,1021.697464
1759134163.197356,1021.710281
1759134164.258681,1021.722717
1759134165.319945,1021.734695
1759134166.381255,1021.741409
1759134167.442613,1021.747131
1759134168.503932,1021.756287
1759134169.565275,1021.764374
1759134170.626555,1021.774521
1759134171.687870,1021.784286
1759134172.749215,1021.795883
1759134173.810556,1021.806488
1759134174.871924,1021.815262
1759134175.933283,1021.821976
1759134176.994609,1021.831512
1759134178.055872,1021.838608
1759134179.117151,1021.846466
1759134180.178436,1021.853409
1759134181.239725,1021.861420
1759134182.301020,1021.868820
1759134183.362292,1021.879501
1759134184.423556,1021.890717
1759134185.484798,1021.903687
1759134186.546014,1021.921005
1759134187.607234,1021.934280
1759134188.668493,1021.950912
1759134189.729789,1021.969147
1759134190.791048,1021.987228
1759134191.852300,1022.002716
1759134192.913555,1022.021179
1759134193.974783,1022.039261
1759134195.035992,1022.054901
1759134196.097178,1022.069397
1759134197.158382,1022.081833
1759134198.219603,1022.092590
1759134199.280790,1022.101135
1759134200.342011,1022.105179
1759134201.403268,1022.112274
1759134202.464488,1022.119217
1759134203.525675,1022.128372
1759134204.586822,1022.136993
1759134205.647961,1022.147751
1759134206.709151,1022.155914
1759134207.770345,1022.163315
1759134208.831542,1022.169800
1759134209.892763,1022.175903
1759134210.953958,1022.181396
1759134212.015134,1022.184601
1759134213.076315,1022.192307
1759134214.137445,1022.195587
1759134215.198598,1022.201385
1759134216.259736,1022.208099
1759134217.320879,1022.213440
1759134218.382019,1022.216339
1759134219.443172,1022.216339
1759134220.504332,1022.216110
1759134221.565487,1022.214890
1759134222.626650,1022.214890
1759134223.687819,1022.216797
1759134224.748947,1022.226639
1759134225.810073,1022.234497
1759134226.871187,1022.243729
1759134227.932334,1022.250443
1759134228.993468,1022.257233
1759134230.054609,1022.258911
1759134231.115730,1022.261963
1759134232.176782,1022.261963
1759134233.237778,1022.263718
1759134234.298797,1022.268066
1759134235.359869,1022.274475
1759134236.420975,1022.281342
1759134237.482095,1022.288132
1759134238.543143,1022.295761
1759134239.604210,1022.299423
1759134240.665280,1022.302170
1759134241.726393,1022.304153
1759134242.787483,1022.308350
1759134243.848604,1022.309647
1759134244.909600,1022.312164
1759134245.970626,1022.315063
1759134247.031616,1022.315063
1759135727.242911,1024.203644
1759135728.270246,1024.210129
1759135729.297570,1024.216614
1759135730.324887,1024.231033
1759135731.352255,1024.237671
1759135731.551950,1024.238052
1759135732.612448,1024.240646
1759135733.672873,1024.240646
1759135734.733281,1024.237518
1759135735.793686,1024.232025
1759135736.854112,1024.231415
1759135737.914520,1024.228210
1759135738.974920,1024.221497
1759135740.035336,1024.221497
1759135741.095763,1024.217987
1759135742.156163,1024.217682
1759135743.216578,1024.217682
1759135744.276979,1024.220505
1759135745.337306,1024.226379
1759135746.397696,1024.231186
1759135747.458063,1024.236298
1759135748.518451,1024.236908
1759135749.578858,1024.242172
1759135750.639199,1024.244690
1759135751.699579,1024.245148
1759135752.759977,1024.245987
1759135753.820379,1024.247360
1759135754.880709,1024.247971
1759135755.941052,1024.248428
1759135757.001453,1024.250107
1759135758.061836,1024.250183
1759135759.122244,1024.251785
1759135760.182634,1024.251785
1759135761.243047,1024.251556
1759135762.303372,1024.251556
1759135763.363771,1024.252014
1759135764.424208,1024.252014
1759135765.484668,1024.251785
1759135766.545116,1024.251175
1759135767.605532,1024.250183
1759135768.665936,1024.245453
1759135769.726362,1024.242325
1759135770.786785,1024.239960
1759135771.847214,1024.236603
1759135772.907645,1024.233551
1759135773.968116,1024.231873
1759135775.028566,1024.228210
1759135776.089009,1024.225540
1759135777.149447,1024.222107
1759135778.209875,1024.218750
1759135779.270299,1024.216614
1759135780.330719,1024.216003
1759135781.391119,1024.216003
1759135782.451473,1024.216003
1759135783.511853,1024.217987
1759135784.572229,1024.218369
1759135785.632607,1024.221039
1759135786.692976,1024.224014
1759135787.753334,1024.227600
1759135788.813717,1024.231339
1759135789.874076,1024.234390
1759135790.934443,1024.237061
1759135791.994792,1024.237747
1759135793.055132,1024.237747
1759135794.115533,1024.237518
1759135795.175940,1024.235992
1759135796.236305,1024.235611
1759135797.296669,1024.235382
1759135798.357003,1024.235382
1759135799.417338,1024.235992
1759135800.477660,1024.235992
1759135801.538025,1024.235992
1759135802.598405,1024.235992
1759135803.658735,1024.236450
1759135804.719072,1024.237518
1759135805.779413,1024.238510
1759135806.839735,1024.238510
1759135807.900045,1024.237671
1759135808.960362,1024.237137
1759135810.020725,1024.237061
1759135811.081050,1024.236603
1759135812.141415,1024.236603
1759135813.201723,1024.237518
1759135814.262019,1024.237518
1759135815.322285,1024.237442
1759135816.382571,1024.237442
1759135817.442883,1024.238815
1759135818.503167,1024.240036
1759135819.563470,1024.240494
1759135820.623766,1024.242172
1759135821.684039,1024.242172
1759135822.744316,1024.239655
1759135823.804649,1024.236908
1759135824.864984,1024.233932
1759135825.925323,1024.229965
1759135826.985659,1024.229507
1759135828.045997,1024.228210
1759135829.106357,1024.228210
1759135830.166693,1024.231033
1759135831.227006,1024.234314
1759135832.287287,1024.234314
1759135833.347631,1024.234924
1759135834.407976,1024.234924
1759135835.468312,1024.232407
1759135836.528635,1024.228821
1759135837.588914,1024.222565
1759135838.649223,1024.214325
1759135839.709504,1024.210663
1759135840.769801,1024.207001
1759135841.830062,1024.207001
1759135842.890321,1024.207001
1759135843.950649,1024.207764
1759135845.010942,1024.209671
1759135846.071213,1024.209900
1759135847.131481,1024.209900
1759135848.191728,1024.207764
1759165548.107335,1022.336884
1759165549.134854,1022.334900
1759165550.162402,1022.332993
1759165551.189982,1022.332840
1759165552.217570,1022.330399
1759165552.417002,1022.329559
1759165553.477701,1022.328949
1759165554.538442,1022.328568
1759165555.599195,1022.326584
1759165556.659919,1022.325974
1759165557.720669,1022.324295
1759165558.781429,1022.324295
1759165559.842174,1022.324371
1759165560.902890,1022.325974
1759165561.963646,1022.326889
1759165563.024427,1022.327957
1759165564.085223,1022.328720
1759165565.145978,1022.328720
1759165566.206699,1022.328262
1759165567.267466,1022.328262
1759165568.328186,1022.328110
1759165569.388937,1022.328796
1759165570.449628,1022.332687
1759165571.510341,1022.336807
1759165572.571069,1022.341232
1759165573.631789,1022.347488
1759165574.692497,1022.351685
1759165575.753223,1022.353363
1759165576.813970,1022.353439
1759165577.874756,1022.354279
1759165578.935532,1022.354279
1759165579.996322,1022.354279
1759165581.057110,1022.353745
1759165582.117876,1022.353210
1759165583.178590,1022.352753
1759165584.239410,1022.352753
1759165585.300235,1022.353821
1759165586.361061,1022.356720
1759165587.421883,1022.356796
1759165588.482716,1022.358170
1759165589.543560,1022.358170
1759165590.604367,1022.356796
1759165591.665170,1022.353745
1759165592.725989,1022.352142
1759165593.786746,1022.349548
1759165594.847502,1022.348480
1759165595.908213,1022.347717
1759165596.968949,1022.346878
1759165598.029724,1022.346649
1759165599.090465,1022.346649
1759165600.151266,1022.345428
1759165601.212041,1022.345200
1759165602.272839,1022.345428
1759165603.333642,1022.344589
1759165604.394419,1022.344589
1759165605.455250,1022.344589
1759165606.516045,1022.344055
1759165607.576902,1022.343674
1759165608.637751,1022.341232
1759165609.698599,1022.340698
1759165610.759417,1022.340546
1759165611.820277,1022.338638
1759165612.881127,1022.338486
1759165613.941958,1022.337799
1759165615.002810,1022.337799
1759165616.063675,1022.337799
1759165617.124486,1022.337799
1759165618.185287,1022.337952
1759165619.246111,1022.337341
1759165620.306960,1022.337341
1759165621.367814,1022.337189
1759165622.428680,1022.337189
1759165623.489516,1022.339020
1759165624.550378,1022.339706
1759165625.611261,1022.339706
1759165626.672183,1022.339630
1759165627.733075,1022.339020
1759165628.793930,1022.339020
1759165629.854771,1022.336960
1759165630.915598,1022.336121
1759165631.976435,1022.334595
1759165633.037254,1022.334595
1759165634.098071,1022.334595
1759165635.158858,1022.334595
1759165636.219660,1022.334900
1759165637.280455,1022.336960
1759165638.341247,1022.336960
1759165639.402036,1022.335892
1759165640.462838,1022.335663
1759165641.523646,1022.335663
1759165642.584436,1022.333832
1759165643.645221,1022.331848
1759165644.705977,1022.331238
1759165645.766797,1022.328720
1759165646.827616,1022.327423
1759165647.888468,1022.325592
1759165648.949324,1022.323761
1759165650.010143,1022.322540
1759165651.070947,1022.322006
1759165652.131771,1022.321854
1759165653.192609,1022.322006
1759165654.253382,1022.322388
1759165655.314163,1022.323074
1759165656.374918,1022.324066
1759165657.435704,1022.324600
1759165658.496522,1022.326584
1759165659.557283,1022.328491
1759165660.618147,1022.328491
1759165661.678940,1022.327652
1759165662.739775,1022.323227
1759165663.800646,1022.321777
1759165664.861438,1022.318420
1759165665.922232,1022.313385
1759165666.983000,1022.312698
1759165668.043792,1022.312546
